,0,1,2,3,4,5
0,0.0,28444.923176772078,27552.851030254496,28128.75407394972,27674.012078723157,29192.083084729635
1,0.0,28360.962890739236,27501.96904635938,27877.964347080015,27965.3868101971,29127.80270733533
2,0.0,26295.22099783506,29036.38428672111,30941.503451788274,26806.44903516279,26858.902704583106
3,0.0,26686.522673694206,27659.25840306299,28771.064509945354,27296.937984191332,26915.371259277472
4,0.0,27281.3533562398,28767.461166540554,27989.708801180088,28726.545419338305,27031.58294915602
5,0.0,29259.19278829974,27526.583641653087,27510.671042250637,29202.540247055244,29962.303979867058
6,0.0,29832.49672970376,27135.992653414345,26828.131645000874,27306.62822455488,26881.481020985982
7,0.0,29953.134936629984,30524.518553114587,27921.251579021467,28398.982103766408,29512.78366801574
8,0.0,28128.892596210506,28699.22183557917,28425.365391692638,27533.695469970233,26936.681318985
9,0.0,28872.25986628198,26063.53859766714,27999.172383280165,27519.203103880805,29220.388111420772
10,0.0,30883.514377224245,28151.04792070826,28275.459448973357,29620.106979448297,27919.343704390172
11,0.0,26208.169449200126,28987.842314906142,27613.8480404887,28459.64886712139,27368.904821321015
12,0.0,28499.08590597315,26001.724523152057,26457.891431445765,29810.027611336787,27297.39515840358
13,0.0,27829.975923044683,28504.959672932153,29597.23973791946,26709.57654747848,27761.46449505603
14,0.0,27884.892550988014,27579.528157366225,31253.605926583867,28459.394131582274,28157.074892305256
15,0.0,27661.408661008354,27647.144221781266,25962.572664684063,27017.74797031889,26895.041234943812
16,0.0,29985.479598754227,27207.483480263654,26037.664351063682,28269.066003067535,28457.25672617438
17,0.0,28590.145818969828,28655.546480052064,28513.007623010515,29028.068417177063,27996.43795954664
18,0.0,26614.509444656036,26307.53488562467,28004.95064626517,28670.13110186277,26776.581085222235
19,0.0,28478.763725792738,26006.75463974742,27797.771298032778,27410.32290477345,27824.506146191856
20,0.0,29083.257003817445,27409.162271024907,31103.23942461218,26963.108674134583,27188.636822405424
21,0.0,27273.32508777862,27559.683285513573,29210.267129041695,28802.022677566052,27909.739620485914
22,0.0,27436.832535160273,28047.412029429837,28262.501800797272,29746.168382047275,30559.306983590574
23,0.0,28183.435827846584,30050.158877625618,28400.502173959496,28186.767768049467,28329.40013987827
24,0.0,28963.687234512065,27667.30860362258,30752.941737465662,26833.81439529229,27994.102314351287
25,0.0,28786.107570683922,28600.752124311963,25477.38062868992,28361.902536117785,30742.150437475408
26,0.0,27390.342443536727,27684.095433778275,28482.377065324377,27907.11629011161,29186.35317242753
27,0.0,27581.075971714545,29010.9157922343,28652.85987681635,27703.23322130103,29131.41806061272
28,0.0,29036.825690566202,28332.073981671336,27978.08135597471,27176.502652288924,28695.979251940364
29,0.0,27349.95280863679,26849.709191849444,29304.482128763193,28226.952259988742,29513.99739475805
30,0.0,27136.28777543601,29002.87132592724,27889.29069392568,28285.30158376129,27539.064044190927
31,0.0,29340.514039028458,29687.51218761272,28095.881235533496,28740.629357001926,29191.63439014998
32,0.0,25423.288346851936,27318.99198630081,29647.825878808744,28530.6303618116,28250.493548513252
33,0.0,28181.737375475146,29740.420296971206,27515.103833756504,29496.667982899184,28922.12568043966
34,0.0,27699.716816323,28275.366564175492,28903.743502770598,28028.863916103073,29556.011823492947
35,0.0,29015.835667169944,27999.83273470893,28221.430520968395,27067.365189059077,28104.13105262666
36,0.0,29949.61095917978,28229.199331996933,29949.44218434846,28820.52154808566,28174.399720086614
37,0.0,28778.144545608186,29562.106339537742,29861.725835506022,28528.917392690528,28512.439298633286
38,0.0,27286.13464729402,27671.029370169697,28423.868121872212,27800.88343494235,29135.53450036073
39,0.0,27172.270946396606,26887.078769163956,27562.649659485767,27273.384027592114,29711.892030465147
40,0.0,29794.321936509034,28057.236272584392,26431.422886686694,29373.693170748025,28596.385344798975
41,0.0,28279.904853885004,28931.610157761614,26815.702813303127,28165.659147804115,28320.615391200125
42,0.0,27425.09540322871,27768.201644008343,29164.722121203922,27159.34377438728,28095.92271109687
43,0.0,28231.24927496735,28836.074342723667,26742.214962178667,27438.42010222002,30416.791176498853
44,0.0,28356.74075026003,26213.444369130673,29162.77903653673,25816.93516592693,27114.662892255947
45,0.0,27955.04265703184,28480.502817909095,27161.773171310182,30722.215138346084,28412.845518684997
46,0.0,25075.2984449263,28618.00722247612,27117.03621514961,27797.845079631687,27703.539137739317
47,0.0,29792.028248734932,27750.9079247978,26495.260935833583,27049.08480716836,29565.08730959936
48,0.0,29575.362372298787,29031.588939594854,28220.235003195336,27960.880032124955,29868.009553467542
49,0.0,27592.578137828925,28617.61931324259,27496.927678261323,26597.842401078116,27040.31346905764
50,0.0,28157.16194742056,26198.97726805036,26812.7923200328,27780.122289797277,29151.25730999425
51,0.0,27136.211650625373,26632.855322505486,27999.620514667222,28044.68381805806,27858.198958839625
52,0.0,29892.37387361175,28957.491908452692,27360.434303556303,27235.289387796307,28190.826526536504
53,0.0,27633.331138177506,26295.609035444213,28081.217336195907,27941.39267241215,27856.839318917322
54,0.0,26515.231531594087,28475.88022936286,27636.84101305378,27720.405787491094,30175.344406547774
55,0.0,27511.701209821396,29780.07354060965,29589.83461139821,30421.694494940966,28825.836846213424
56,0.0,28357.104929004374,28837.82273231941,27857.892099530116,27408.375891108895,29730.461451105504
57,0.0,28670.27409472335,27393.561151903465,27857.333934826274,26467.71103085894,28510.61164141651
58,0.0,28711.23207754422,28569.20340281789,27870.514660868303,27342.45295169255,29635.107689783523
59,0.0,27143.56885582101,29811.21098989548,28227.384128660484,28145.828009522676,28442.352952785048
60,0.0,25384.576696871387,28204.438624677983,29606.003297669304,27181.493216074035,27094.793266550718
61,0.0,27751.466405445557,27866.13726480565,29153.002166014918,28285.659703747806,27619.91660031536
62,0.0,28480.99805721813,27221.448371069026,28537.468280697536,28993.048858684364,27860.059772592896
63,0.0,29433.842720364795,27939.512412510798,27240.196783505824,28467.010674850506,29727.604738076276
64,0.0,29241.35954468079,30779.448010479296,29348.55959141108,28677.33039372129,29010.49743993344
65,0.0,29209.15712795036,26435.806933545195,27950.47609000029,28067.791827148012,29335.50629520705
66,0.0,26877.532849457948,28546.05964139533,27921.391492656367,27101.189496336723,28191.897834668423
