,0,1,2,3,4
0,125394.77960054578,138465.1766525951,237336.11909310173,199253.21691772534,135373.5691728659
1,120268.91789318676,272024.42256859166,346765.7211288648,259504.1798266837,274275.89494518796
2,200990.5041482781,329036.0658964102,432062.023843505,199362.99947343735,296287.3367726079
3,208314.27076824685,346936.46757925244,530146.927932069,267774.82416233973,257753.26324501846
4,294393.7576796524,358041.60791383294,720107.1718092242,364395.631379205,367182.9056841489
5,294320.23942083673,440621.91930014995,864712.16394782,349375.6306346957,374720.5724515648
6,271589.24874244357,424751.2623550871,992148.248485813,338728.3199822252,308433.11076453875
7,259776.9166243325,548577.9353002324,1172501.6117457794,423371.57221612317,277989.7865182116
8,253013.1699794205,586444.6115212548,1288502.3438012367,453286.2334624278,262197.8839567506
9,189017.33353329697,630789.1483330016,1225062.7950214944,461918.0638813601,208722.03152087558
10,167696.75127538404,634431.4733684314,1166910.3876481275,480347.50675004936,270616.5814367683
11,195924.16371750872,615251.3016146763,1228995.136130752,489180.0751975415,404505.10728474555
12,222899.89716869366,537776.5334150344,1254382.501233242,465980.4836851813,359489.15810778056
13,292560.87517464557,570640.4587300321,1272048.0753510683,483747.70640143467,343515.4276291916
14,271555.6960082893,541273.5309723782,1315425.0628847585,490798.3562640475,610752.0610982104
15,283958.16935376555,633378.6766799274,1442788.938383586,462068.16927682457,704582.4894296342
16,318935.82467181375,571551.2566353276,1411977.3682165786,491236.49535974686,707824.43067603
17,433683.1558196251,586200.8736388793,1400469.9283679267,462006.18628407107,728420.2077469185
18,539979.3417992753,674137.8007957363,1435176.872132305,478225.2031721624,876533.6225290118
19,578884.7923416533,711118.9625948259,1363275.3883461875,465794.92648090416,942280.5685716147
20,519241.83605679957,685983.3403774764,1301485.625237533,572031.8987330301,977205.3399001304
21,562336.3239388793,639311.7283028708,1289207.2757885228,525411.5723993147,1058897.0565817172
22,608920.1356198853,650179.1645256833,1214367.081586387,540554.3638870341,946304.6884338292
23,795724.3806041265,646841.4411851811,1097995.4272275614,517328.2306201215,851381.8266873913
24,816455.759367907,710660.9698315251,1037383.837825074,595021.9459471677,910014.9086285274
25,766888.0900116457,723673.2512237098,786677.2128375103,617977.6340382696,974629.8859013671
26,745168.9088945262,698077.7776841712,818681.662398681,696442.5634210325,915475.7145212251
27,768549.9779959463,648789.1294262672,804958.0233101547,720254.6805063101,777759.5348959328
28,763971.4666711398,643787.0229641612,775894.1019428942,845530.133267497,813878.9769586968
29,692119.4857876131,691553.1617147694,788568.5164931937,981885.5727726525,862595.2940337365
30,724761.2502821166,683112.4098376657,786070.6991936025,1052679.6946207583,784970.083731871
31,743189.9884272928,651888.2136252173,764736.6865400078,1058200.255393069,850072.7082383869
32,735572.5857588716,580947.40363918,692858.7730554063,1120069.6719459554,901620.8536082646
33,718641.9296031006,600824.4999801316,678074.9436188178,1105474.4259860408,878237.0085602459
34,661246.083216566,597040.2015958641,658086.5113409827,1077874.4711536088,842602.552215009
35,668515.7050665409,704073.4576741613,480223.65419942955,1043134.6573779774,821983.1633267539
36,711154.0976367806,849111.4393436685,479527.83813147387,1046584.3275364888,863529.2366030053
37,685831.6323097736,816291.0616680814,541202.8387705162,1221653.6153977418,872694.9607634074
38,642165.6277074652,767721.2758621189,540549.2798929082,1210786.846784729,677745.2078954389
39,664331.6288946496,622836.8344882181,575312.688288054,1110075.3441754754,699578.0224563092
40,695619.4251712677,657260.6287490671,578607.7503802095,1050675.2915121329,662311.3618156903
41,708981.5913784133,695799.3829686271,526139.3890110756,1046474.1543422827,756537.440450909
42,713956.3673201574,826793.4444018604,532731.6660001415,1038217.2712044737,754380.1043334943
43,670162.5994983895,816190.6711459542,603549.9230610405,996034.4516348054,764930.0601368862
44,676306.2112646399,663788.6605662948,611272.634912859,1012991.2579466654,769263.014155636
45,672606.458959331,682251.5367710148,621165.1366909116,1011129.6658310681,779139.3853663942
46,543135.0701052583,653283.0227523908,580339.8952822,912160.7061619118,823950.7853367667
47,618107.4184513437,652676.4030891878,597098.1638534217,924879.1321513592,856871.4158525171
48,656975.7539642937,714142.0794462338,618913.2078984638,899026.1313420726,823803.3268106914
49,711625.2732887039,797575.2500243348,600060.737888584,910249.7296424485,873153.5076771872
50,660081.615823703,888650.690268646,604655.4017778604,893958.9788177012,965465.085255703
51,628898.021981329,941218.3563146892,635551.5040814644,749400.2556709718,983021.7919693005
52,641655.3455711253,887802.6298363996,585507.6120294521,737247.4177120292,995231.0059422972
53,823173.6981530818,753403.267276441,626642.5645801527,733113.0749559082,1103671.3127747683
54,785162.0434390204,614219.5275380223,589749.141450348,721382.6531638214,1176210.8194632407
55,798167.308079945,565745.8472861575,574575.428454359,753929.6485026327,1194253.5100384923
