,0,1,2,3,4
0,226020.24426379814,215369.97260084952,164930.73570895536,123286.70259516928,239128.7822725908
1,247122.40369425403,258176.82423104113,221654.0531499553,157918.89147334386,225044.53710217524
2,275357.2437447486,138638.24957242055,210780.60531830648,269754.76120371924,245287.24424300966
3,311114.58543406776,168403.21547783437,176741.9229755854,346301.74231821543,261978.83743381526
4,309727.59486363485,233776.40190165176,231855.07369873807,425597.6894648162,254096.17932597455
5,316136.76421737636,296540.2950333093,227190.21162520593,354123.2750119028,312376.322483065
6,315000.7775137157,289055.7972925777,279168.47070646257,294456.4217754056,398575.25527803984
7,389619.92302623205,184030.14667425645,359975.6571329696,267242.84321861604,453859.3636347556
8,481099.68680013856,270111.7830227974,333951.8309613895,331103.61694326025,525299.0089803373
9,556727.3706557805,320462.27324943244,374845.7844555885,330292.6117290926,508935.2991620308
10,606214.8485196126,414350.559815397,461551.8839095081,295262.64491402666,468756.12117167236
11,511088.78167196683,415349.67696697765,444720.79712740146,350379.49683289905,426537.8280807789
12,389315.2428424307,420220.78101487656,494937.7246717706,448017.452639046,402005.62129272055
13,441954.4724320003,378636.5760452029,461702.57124579145,495761.5511480781,290424.19439632655
14,555029.4029534298,410543.82355754747,431042.3688651182,539453.8581446564,317056.062876147
15,647655.1852502422,405007.42369819985,546074.6022986437,572548.0252246859,386492.62417538196
16,643408.746938825,396228.1991731438,536403.63328864,598752.8426617197,380083.08036303596
17,687578.158906698,293665.33457329375,568933.3469624381,590251.4118500657,455538.5234152333
18,689326.4060973807,272319.97231378814,561304.5615313883,581334.3923372198,411202.89609096956
19,761593.8542895082,347682.92397615244,466544.31422810175,529794.2487583379,397780.3528452104
20,702548.7172804856,346901.3138804141,479196.7665678132,561163.3508585736,529848.8799181752
21,828791.4448076349,440133.0908721849,522813.9776986074,533979.4765390744,537622.2843117896
22,975714.428546105,496000.60845668847,425647.3808997781,541430.3652384505,487217.133464648
23,1142880.5653587007,564055.5330201625,367635.28461540473,524258.10414536734,425627.1883804441
24,1190313.564439468,586234.0751964547,487760.379256531,472627.6087937384,383714.5099529305
25,1225418.6087039912,567015.0375364787,492262.41330518597,488000.2276465461,346820.4644014725
26,1263250.6015928262,681238.983696089,526539.4532026339,551702.719815702,359103.19342815946
27,1361715.437350657,749358.0623710102,519690.5107185948,537858.9348508946,411397.756699346
28,1332693.5674629519,777927.7443851468,612682.7210932376,611420.7952981642,393459.8526944106
29,1381244.8837079327,815337.7114542064,641076.5433964153,714691.520391324,364413.4869609177
30,1463325.138059923,843013.6964705994,732142.7085770421,824660.824761588,380543.64854807506
31,1503483.744503004,875503.9608407791,649370.6803081866,894529.2487249156,381042.57298572257
32,1468812.9613531455,834099.8321482106,617221.5963808466,953808.4611607523,343608.69636184006
33,1430085.5093834552,828405.4232014947,591394.6115436382,959915.0322803992,339512.33960616286
34,1393218.1464941415,969897.3204342185,651721.5341566579,952546.5222965118,392321.6075960891
35,1283189.137663998,1056539.6620435661,739117.0085010341,974678.8619409483,466462.81971916487
36,1219233.9614911554,1111536.6246934396,737256.5596783122,1008826.3540213518,450740.9502107154
37,1422935.3428133992,1145626.8850044103,706408.1583421275,1020052.8017803623,500477.82234856865
38,1637330.5934296579,1188572.638890862,751731.9472162549,1175858.503990909,501965.2122917783
39,1588393.777264913,1176076.712579289,784013.3260729728,1236259.7483130046,413503.00989195483
40,1560342.643929153,1181914.142120065,817798.0622240097,1219347.3386093138,460627.26303213043
41,1468534.6371976212,1158817.260633732,783950.3382186068,1182377.4210825742,363267.8597116823
42,1331514.3199589099,1153123.3429406462,847436.6371849123,1162890.5648216985,527057.9839171537
43,1272237.9384658954,1140460.910481406,828550.4748603809,1218200.9481846078,491668.3632057201
44,1212970.6307495744,1035809.2046885472,836462.3394026388,1189054.7512358527,463438.3273922629
45,1295338.2030409698,933160.8648477113,807443.755650844,1114158.7138059726,424093.45547428186
46,1299357.4510127055,827822.3384424713,836743.4969413994,1063987.6587899856,349146.4339232557
47,1290537.4024650136,812903.9266616788,851795.0767602746,973312.6771490485,347163.08898961067
48,1404117.95677897,834372.6437457111,741326.1275492666,957865.1280277136,387199.222988619
49,1460340.283970104,813737.5997899657,687351.058664886,930540.1010660273,371819.73752058134
50,1558402.044713228,747999.5777184154,694494.2226382532,946822.5740754082,356917.8523103132
51,1567988.271612626,719039.701529746,639807.8070006075,916456.6907213787,413835.11329878424
52,1596456.0545473362,683199.5985813878,606243.6586044667,733034.5609908861,464760.1016825292
53,1679797.3217925427,692401.5981556877,705996.5297882103,870796.5122250222,533321.7419757355
54,1694082.006434591,650027.4713188366,730128.200384237,891113.6619754187,534319.7215630407
55,1780094.6062944,519769.2740742401,816987.8567221565,899061.6128236625,480625.144487934
56,1826448.0547547925,538000.3196922016,828651.6062734966,931371.7890501737,464465.3856033472
57,1754174.8708228732,510277.0119817063,810888.7008987328,959351.963593204,524242.7852216723
58,1792541.154389235,624018.3570422003,712225.7354191113,935823.9641922533,522428.6003073592
59,1758051.6636009868,582520.4297278479,732794.2190287944,901427.9693167269,555332.04210421
60,1605073.654225185,530626.731835919,660102.4829144704,873963.4517288706,501470.49158777506
61,1523243.9588800082,552984.544115718,709339.419966128,892739.4915757657,468667.6257537764
62,1635894.7000403504,593836.8459937695,727854.2189242113,851564.7977106437,458400.7573296577
63,1642159.0971451355,600624.0139625336,708197.3021158325,850781.8078258551,391908.7573501271
64,1592500.1109966931,647798.0584447713,599796.8034707215,855138.6584160897,407016.0688758699
